status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,personal_status_sex,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,credit_risk
kein Konto,27,delay in paying off in the past,others,26162.805560810502,< 580 €,4 <= ... < 7 years,3,male : single,none,4,car or other,26,none,own,2,skilled employee/official,1,no,yes,1
< 580 €,12,existing credits paid back duly till now,business,4611.852768389891,< 580 €,4 <= ... < 7 years,4,male : married/widowed,none,4,building society savings agreement/life insurance,21,none,rent,1,skilled employee/official,1,no,yes,0
kein Konto,12,critical account/other credits existing,car (new),7643.813623883467,< 580 €,... >= 7 years,4,male : single,none,1,real estate,38,none,own,2,unskilled - resident,2,no,yes,1
< 580 €,30,critical account/other credits existing,car (used),54314.53653947429,< 580 €,... >= 7 years,3,male : single,none,4,unknown/no property,38,none,for free,3,management/self-employed/highly qualified employee/officer,2,yes,yes,1
kein Konto,12,critical account/other credits existing,radio/television,9893.497901146828,< 580 €,... >= 7 years,4,male : single,none,4,real estate,43,none,own,3,skilled employee/official,1,yes,yes,1
580 € - 2900 €,12,critical account/other credits existing,repairs,7280.796388234152,< 580 €,4 <= ... < 7 years,4,male : single,none,3,building society savings agreement/life insurance,26,none,own,1,skilled employee/official,1,no,yes,1
< 580 €,24,existing credits paid back duly till now,others,33581.65075696763,< 580 €,1 <= ... < 4 years,2,male : married/widowed,none,2,car or other,21,stores,own,1,unskilled - resident,1,no,yes,1
kein Konto,12,existing credits paid back duly till now,car (used),7224.554281302568,>= 5000 €,4 <= ... < 7 years,3,male : single,none,2,building society savings agreement/life insurance,55,none,own,1,skilled employee/official,1,no,no,1
kein Konto,9,critical account/other credits existing,domestic appliances,15717.112427971755,unbekannt,1 <= ... < 4 years,1,male : single,none,2,real estate,33,none,own,2,skilled employee/official,2,no,yes,1
kein Konto,36,existing credits paid back duly till now,domestic appliances,19608.043643874982,unbekannt,... >= 7 years,2,female : divorced/separated/married,none,4,real estate,45,none,own,1,unskilled - resident,1,yes,yes,1
< 580 €,27,no credits taken/all credits paid back duly,others,27062.679271715846,< 580 €,unemployed,2,male : single,none,4,building society savings agreement/life insurance,50,stores,own,2,skilled employee/official,1,yes,yes,0
>= 2900 € / Gehalt seit 1 Jahr,30,delay in paying off in the past,others,9755.44909322385,< 580 €,... >= 7 years,4,male : single,none,4,real estate,66,none,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,0
kein Konto,36,critical account/other credits existing,domestic appliances,17087.374669577624,unbekannt,... >= 7 years,4,male : single,none,2,car or other,51,none,own,1,skilled employee/official,1,yes,yes,1
580 € - 2900 €,6,critical account/other credits existing,business,4765.240332748756,unbekannt,4 <= ... < 7 years,1,female : divorced/separated/married,none,3,building society savings agreement/life insurance,39,none,own,2,unskilled - resident,1,no,yes,1
< 580 €,18,no credits taken/all credits paid back duly,others,15870.499992330622,< 580 €,4 <= ... < 7 years,3,male : single,none,1,building society savings agreement/life insurance,31,bank,own,1,skilled employee/official,1,yes,yes,1
>= 2900 € / Gehalt seit 1 Jahr,36,existing credits paid back duly till now,domestic appliances,20006.85131120803,< 580 €,1 <= ... < 4 years,2,male : single,none,2,real estate,23,none,own,1,skilled employee/official,1,yes,yes,1
< 580 €,24,existing credits paid back duly till now,radio/television,15446.12773093776,< 580 €,1 <= ... < 4 years,2,male : divorced/separated,none,2,real estate,24,none,rent,1,unskilled - resident,1,no,yes,1
kein Konto,10,existing credits paid back duly till now,car (new),6974.02125951642,< 580 €,1 <= ... < 4 years,2,female : divorced/separated/married,none,4,car or other,64,none,own,1,skilled employee/official,1,yes,yes,1
580 € - 2900 €,12,existing credits paid back duly till now,domestic appliances,3195.5742574763653,< 580 €,... < 1 year,4,male : married/widowed,guarantor,1,real estate,26,bank,own,1,unskilled - resident,1,no,yes,1
< 580 €,12,existing credits paid back duly till now,retraining,6135.502574354622,unbekannt,1 <= ... < 4 years,4,female : divorced/separated/married,none,4,building society savings agreement/life insurance,23,bank,rent,1,skilled employee/official,1,yes,yes,1
kein Konto,12,existing credits paid back duly till now,domestic appliances,3614.8336000572644,< 580 €,1 <= ... < 4 years,4,male : single,none,2,real estate,30,bank,own,2,skilled employee/official,1,no,yes,1
kein Konto,24,delay in paying off in the past,others,15226.272222023388,unbekannt,1 <= ... < 4 years,4,male : single,none,4,real estate,32,none,own,2,skilled employee/official,2,yes,yes,1
kein Konto,15,existing credits paid back duly till now,car (used),23810.862907307896,< 580 €,1 <= ... < 4 years,3,male : single,none,2,car or other,30,none,own,1,skilled employee/official,1,yes,yes,1
kein Konto,36,no credits taken/all credits paid back duly,education,13360.056855657189,< 580 €,1 <= ... < 4 years,4,male : single,none,2,car or other,27,none,own,2,skilled employee/official,1,no,yes,1
580 € - 2900 €,48,existing credits paid back duly till now,domestic appliances,56042.70309791751,>= 5000 €,4 <= ... < 7 years,1,male : single,co-applicant,2,unknown/no property,27,bank,own,2,skilled employee/official,1,yes,yes,0
< 580 €,12,existing credits paid back duly till now,radio/television,40213.10645608258,< 580 €,... >= 7 years,4,male : single,none,4,unknown/no property,53,none,for free,1,management/self-employed/highly qualified employee/officer,1,yes,yes,0
kein Konto,9,existing credits paid back duly till now,domestic appliances,7556.894004080109,< 580 €,4 <= ... < 7 years,4,male : single,none,2,car or other,22,none,own,1,skilled employee/official,1,no,yes,0
< 580 €,24,existing credits paid back duly till now,radio/television,16100.58133886892,< 580 €,... < 1 year,4,male : single,none,1,unknown/no property,22,bank,for free,1,skilled employee/official,1,no,yes,1
>= 2900 € / Gehalt seit 1 Jahr,36,existing credits paid back duly till now,domestic appliances,21525.388198360797,< 580 €,1 <= ... < 4 years,4,male : single,none,2,car or other,26,none,own,1,skilled employee/official,1,no,yes,0
kein Konto,9,existing credits paid back duly till now,car (new),12818.087461589199,2800 € - 5000 €,... >= 7 years,2,male : single,none,4,unknown/no property,51,none,for free,1,unskilled - resident,1,no,yes,1
kein Konto,12,existing credits paid back duly till now,domestic appliances,10946.759176411037,580 € - 2900 €,4 <= ... < 7 years,3,male : single,none,1,unknown/no property,35,none,own,1,skilled employee/official,1,no,yes,1
580 € - 2900 €,18,existing credits paid back duly till now,domestic appliances,4427.787691159252,< 580 €,1 <= ... < 4 years,4,male : married/widowed,guarantor,2,real estate,25,none,own,1,unskilled - resident,1,no,yes,1
kein Konto,4,critical account/other credits existing,domestic appliances,7894.346645669613,< 580 €,4 <= ... < 7 years,2,male : single,none,1,real estate,42,none,own,3,unskilled - resident,2,no,yes,1
< 580 €,24,existing credits paid back duly till now,domestic appliances,9320.850994207063,< 580 €,unemployed,4,male : single,none,2,car or other,30,stores,own,1,management/self-employed/highly qualified employee/officer,2,no,yes,0
580 € - 2900 €,6,existing credits paid back duly till now,car (new),74418.5333081096,unbekannt,unemployed,1,male : single,none,2,building society savings agreement/life insurance,23,none,own,1,unemployed/unskilled - non-resident,1,yes,yes,0
580 € - 2900 €,21,existing credits paid back duly till now,others,14147.446352699368,580 € - 2900 €,... >= 7 years,4,male : divorced/separated,none,2,car or other,61,bank,rent,2,unskilled - resident,1,no,yes,0
kein Konto,12,critical account/other credits existing,domestic appliances,6600.77818624318,< 580 €,1 <= ... < 4 years,4,female : divorced/separated/married,none,2,building society savings agreement/life insurance,35,none,own,2,skilled employee/official,1,no,yes,1
< 580 €,30,existing credits paid back duly till now,domestic appliances,12894.78124376863,< 580 €,... >= 7 years,1,male : single,guarantor,3,building society savings agreement/life insurance,39,none,own,1,skilled employee/official,2,no,yes,1
< 580 €,24,existing credits paid back duly till now,car (new),4678.320712945399,unbekannt,... >= 7 years,4,female : divorced/separated/married,none,2,car or other,29,bank,own,1,skilled employee/official,1,no,yes,0
kein Konto,6,existing credits paid back duly till now,domestic appliances,8155.105505079684,< 580 €,4 <= ... < 7 years,3,male : single,none,2,building society savings agreement/life insurance,51,none,own,1,skilled employee/official,2,no,yes,1
< 580 €,48,no credits taken/all credits paid back duly,car (used),23544.99112908586,< 580 €,... >= 7 years,3,male : single,none,4,unknown/no property,24,none,for free,2,skilled employee/official,2,no,yes,0
kein Konto,12,critical account/other credits existing,others,6058.8087921751885,< 580 €,1 <= ... < 4 years,3,female : divorced/separated/married,none,2,real estate,27,none,own,2,skilled employee/official,1,no,yes,1
kein Konto,12,all credits at this bank paid back duly,business,17624.23114483365,2800 € - 5000 €,1 <= ... < 4 years,4,female : divorced/separated/married,none,3,real estate,35,none,own,1,unskilled - resident,2,no,yes,1
kein Konto,24,existing credits paid back duly till now,others,6432.0518654484285,< 580 €,4 <= ... < 7 years,4,male : single,none,1,real estate,25,none,own,1,skilled employee/official,1,yes,yes,1
kein Konto,12,critical account/other credits existing,domestic appliances,3665.9627881768865,< 580 €,... >= 7 years,4,male : single,none,4,real estate,52,none,own,3,skilled employee/official,1,no,yes,1
kein Konto,6,no credits taken/all credits paid back duly,car (new),6155.9542496024715,580 € - 2900 €,1 <= ... < 4 years,4,male : single,none,1,unknown/no property,35,bank,rent,1,skilled employee/official,1,no,no,1
>= 2900 € / Gehalt seit 1 Jahr,24,existing credits paid back duly till now,radio/television,9842.368713027206,< 580 €,1 <= ... < 4 years,2,male : single,none,2,real estate,26,none,own,1,skilled employee/official,1,no,yes,1
kein Konto,18,existing credits paid back duly till now,domestic appliances,2213.893845579626,< 580 €,unemployed,3,female : divorced/separated/married,co-applicant,4,real estate,22,none,rent,1,skilled employee/official,1,no,yes,0
< 580 €,6,critical account/other credits existing,car (new),3405.203928766815,>= 5000 €,4 <= ... < 7 years,3,female : divorced/separated/married,none,4,real estate,39,none,own,2,unskilled - resident,1,yes,yes,1
>= 2900 € / Gehalt seit 1 Jahr,12,existing credits paid back duly till now,radio/television,11509.180245726877,< 580 €,1 <= ... < 4 years,1,female : divorced/separated/married,none,2,car or other,46,none,own,1,unskilled - resident,1,no,yes,1
580 € - 2900 €,30,existing credits paid back duly till now,car (new),10992.775445718698,< 580 €,1 <= ... < 4 years,4,female : divorced/separated/married,guarantor,2,unknown/no property,24,bank,own,1,skilled employee/official,1,no,yes,0
kein Konto,24,delay in paying off in the past,radio/television,21223.72598845503,580 € - 2900 €,1 <= ... < 4 years,2,male : single,none,3,building society savings agreement/life insurance,35,none,own,2,skilled employee/official,1,no,yes,1
580 € - 2900 €,9,existing credits paid back duly till now,radio/television,10379.225188283235,unbekannt,4 <= ... < 7 years,2,male : single,none,1,car or other,24,none,own,1,skilled employee/official,1,yes,yes,1
580 € - 2900 €,60,delay in paying off in the past,domestic appliances,37927.631747135485,unbekannt,1 <= ... < 4 years,1,male : single,none,1,real estate,27,none,own,1,unskilled - resident,1,no,yes,1
kein Konto,24,critical account/other credits existing,domestic appliances,13723.074091306506,< 580 €,1 <= ... < 4 years,4,male : single,none,2,real estate,35,none,own,2,unskilled - resident,1,no,yes,1
< 580 €,12,all credits at this bank paid back duly,domestic appliances,10987.662526906735,< 580 €,1 <= ... < 4 years,4,male : divorced/separated,none,1,unknown/no property,29,none,for free,1,skilled employee/official,1,no,yes,0
kein Konto,15,existing credits paid back duly till now,car (used),19490.44651119985,580 € - 2900 €,... < 1 year,1,female : divorced/separated/married,none,4,car or other,23,none,own,1,skilled employee/official,1,yes,yes,1
kein Konto,11,critical account/other credits existing,domestic appliances,5900.308309004362,580 € - 2900 €,unemployed,4,female : divorced/separated/married,none,4,real estate,57,none,own,3,unskilled - resident,1,no,yes,1
< 580 €,12,existing credits paid back duly till now,radio/television,8472.10647142134,< 580 €,1 <= ... < 4 years,2,male : single,none,2,real estate,27,none,own,1,skilled employee/official,1,no,yes,1
< 580 €,24,existing credits paid back duly till now,domestic appliances,8196.008855575383,< 580 €,... >= 7 years,4,female : divorced/separated/married,none,4,car or other,55,none,own,1,skilled employee/official,1,no,yes,1
< 580 €,18,critical account/other credits existing,car (new),27108.695541023502,< 580 €,... >= 7 years,2,male : single,none,4,unknown/no property,36,none,for free,3,management/self-employed/highly qualified employee/officer,1,yes,yes,1
kein Konto,12,critical account/other credits existing,retraining,14050.300895272085,< 580 €,... >= 7 years,2,female : divorced/separated/married,none,4,unknown/no property,57,bank,for free,3,unskilled - resident,1,no,yes,1
kein Konto,10,critical account/other credits existing,car (new),6294.0030575254505,< 580 €,... >= 7 years,3,male : single,none,4,real estate,32,none,own,2,unskilled - resident,2,no,no,1
580 € - 2900 €,15,existing credits paid back duly till now,domestic appliances,4100.560887193672,< 580 €,... >= 7 years,4,male : single,none,3,car or other,37,none,own,1,skilled employee/official,2,no,yes,0
kein Konto,36,critical account/other credits existing,others,32231.840190609615,unbekannt,... >= 7 years,4,male : single,none,4,real estate,36,none,own,2,skilled employee/official,1,no,yes,1
kein Konto,24,existing credits paid back duly till now,domestic appliances,7838.10453873803,< 580 €,... < 1 year,4,female : divorced/separated/married,none,3,car or other,38,stores,own,1,skilled employee/official,1,yes,yes,1
< 580 €,14,existing credits paid back duly till now,car (new),45903.7850937965,< 580 €,... >= 7 years,1,male : divorced/separated,none,4,building society savings agreement/life insurance,45,none,own,1,management/self-employed/highly qualified employee/officer,1,yes,no,0
kein Konto,24,existing credits paid back duly till now,domestic appliances,5107.805893150223,unbekannt,... >= 7 years,4,male : single,none,2,car or other,25,none,own,2,skilled employee/official,1,no,yes,1
kein Konto,18,existing credits paid back duly till now,car (new),13610.589877443335,unbekannt,4 <= ... < 7 years,4,male : single,none,3,building society savings agreement/life insurance,32,none,own,1,skilled employee/official,1,no,no,1
kein Konto,12,critical account/other credits existing,radio/television,7168.3121743709835,2800 € - 5000 €,4 <= ... < 7 years,3,female : divorced/separated/married,none,4,car or other,37,none,rent,1,skilled employee/official,1,yes,yes,1
580 € - 2900 €,48,all credits at this bank paid back duly,car (new),62219.10902276782,unbekannt,unemployed,4,male : single,co-applicant,4,unknown/no property,36,none,for free,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1
580 € - 2900 €,48,existing credits paid back duly till now,domestic appliances,15645.531564604287,< 580 €,4 <= ... < 7 years,4,male : single,none,4,real estate,28,none,own,2,skilled employee/official,1,no,yes,0
< 580 €,30,existing credits paid back duly till now,education,61344.79990592229,< 580 €,... < 1 year,1,male : divorced/separated,none,1,unknown/no property,34,none,own,1,unskilled - resident,1,yes,yes,0
kein Konto,9,existing credits paid back duly till now,domestic appliances,13789.542035862012,< 580 €,1 <= ... < 4 years,1,male : single,none,2,real estate,32,none,own,1,skilled employee/official,2,no,yes,1
kein Konto,18,critical account/other credits existing,domestic appliances,12291.45682395709,< 580 €,1 <= ... < 4 years,2,female : divorced/separated/married,none,2,car or other,26,none,own,2,skilled employee/official,1,no,yes,1
< 580 €,12,existing credits paid back duly till now,radio/television,6452.503540696278,unbekannt,... >= 7 years,2,male : divorced/separated,none,4,building society savings agreement/life insurance,49,none,own,1,unskilled - resident,1,yes,yes,1
kein Konto,6,existing credits paid back duly till now,radio/television,23575.668641957636,< 580 €,... < 1 year,1,female : divorced/separated/married,none,4,building society savings agreement/life insurance,32,none,own,1,skilled employee/official,1,no,yes,0
kein Konto,24,existing credits paid back duly till now,domestic appliances,9719.658661540114,580 € - 2900 €,1 <= ... < 4 years,4,male : single,none,4,car or other,29,none,rent,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1
kein Konto,15,critical account/other credits existing,car (used),17220.310558688638,>= 5000 €,... >= 7 years,3,male : single,none,4,unknown/no property,23,none,rent,2,skilled employee/official,1,yes,yes,1
kein Konto,12,existing credits paid back duly till now,radio/television,8047.7342100284795,< 580 €,1 <= ... < 4 years,4,male : single,none,2,real estate,50,none,own,1,skilled employee/official,1,no,yes,1
>= 2900 € / Gehalt seit 1 Jahr,18,all credits at this bank paid back duly,domestic appliances,7388.167683285357,unbekannt,4 <= ... < 7 years,4,male : single,none,4,car or other,49,bank,own,1,unskilled - resident,1,no,yes,1
kein Konto,15,critical account/other credits existing,radio/television,7771.636594182521,unbekannt,... >= 7 years,4,male : single,none,4,building society savings agreement/life insurance,63,none,own,1,skilled employee/official,1,no,yes,1
580 € - 2900 €,24,critical account/other credits existing,car (new),19827.899152789352,580 € - 2900 €,... < 1 year,4,male : divorced/separated,none,2,car or other,37,none,own,1,skilled employee/official,1,yes,yes,1
< 580 €,47,existing credits paid back duly till now,car (new),54820.71550185855,< 580 €,... < 1 year,1,female : divorced/separated/married,none,1,real estate,35,none,own,1,unskilled - resident,1,yes,yes,1
< 580 €,48,existing credits paid back duly till now,car (used),24480.655271674943,< 580 €,4 <= ... < 7 years,4,male : single,none,3,building society savings agreement/life insurance,26,none,own,1,skilled employee/official,2,no,yes,1
580 € - 2900 €,48,delay in paying off in the past,furniture/equipment,38766.15043229728,580 € - 2900 €,unemployed,2,male : single,none,4,unknown/no property,31,none,for free,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1
580 € - 2900 €,12,existing credits paid back duly till now,domestic appliances,5583.307342662706,< 580 €,1 <= ... < 4 years,4,female : divorced/separated/married,guarantor,4,real estate,49,none,own,2,skilled employee/official,1,yes,yes,1
< 580 €,24,delay in paying off in the past,domestic appliances,5235.628863449278,< 580 €,... < 1 year,4,male : married/widowed,none,4,real estate,48,stores,own,1,skilled employee/official,1,no,yes,0
kein Konto,12,existing credits paid back duly till now,others,5501.50064167131,< 580 €,1 <= ... < 4 years,2,male : married/widowed,none,2,real estate,26,none,own,1,skilled employee/official,1,yes,no,1
580 € - 2900 €,36,existing credits paid back duly till now,car (used),48051.21099482061,< 580 €,... < 1 year,1,male : married/widowed,none,4,car or other,28,none,rent,1,management/self-employed/highly qualified employee/officer,1,yes,yes,0
< 580 €,24,critical account/other credits existing,car (used),32819.82585398527,< 580 €,... >= 7 years,2,female : divorced/separated/married,none,4,unknown/no property,44,none,for free,2,management/self-employed/highly qualified employee/officer,2,yes,yes,1
>= 2900 € / Gehalt seit 1 Jahr,42,critical account/other credits existing,car (used),24521.558622170636,< 580 €,... >= 7 years,4,male : single,none,4,unknown/no property,56,none,for free,1,skilled employee/official,1,no,yes,1
kein Konto,48,critical account/other credits existing,others,39006.45761645951,unbekannt,... >= 7 years,4,male : divorced/separated,none,2,car or other,46,bank,own,2,management/self-employed/highly qualified employee/officer,2,no,yes,1
580 € - 2900 €,48,existing credits paid back duly till now,radio/television,50924.67136714337,< 580 €,... < 1 year,1,female : divorced/separated/married,none,2,car or other,26,none,own,1,skilled employee/official,1,yes,yes,0
kein Konto,12,existing credits paid back duly till now,car (used),23902.89544592321,unbekannt,... < 1 year,1,female : divorced/separated/married,none,4,car or other,20,none,rent,1,skilled employee/official,1,no,yes,1
kein Konto,10,existing credits paid back duly till now,car (new),6580.326510995332,unbekannt,... >= 7 years,4,male : single,co-applicant,2,building society savings agreement/life insurance,45,none,own,1,unskilled - resident,1,no,no,1
kein Konto,18,existing credits paid back duly till now,radio/television,12858.990812084894,< 580 €,1 <= ... < 4 years,3,male : single,none,4,real estate,43,none,own,1,skilled employee/official,1,yes,yes,1
580 € - 2900 €,21,critical account/other credits existing,radio/television,14034.962138836197,>= 5000 €,4 <= ... < 7 years,3,male : single,none,2,car or other,32,none,own,2,skilled employee/official,1,yes,yes,1
kein Konto,6,existing credits paid back duly till now,car (new),3435.8814416385885,< 580 €,unemployed,1,female : divorced/separated/married,none,4,real estate,54,none,own,1,unemployed/unskilled - non-resident,1,yes,yes,1
580 € - 2900 €,36,no credits taken/all credits paid back duly,domestic appliances,19449.543160704154,< 580 €,1 <= ... < 4 years,4,female : divorced/separated/married,none,1,car or other,42,none,own,1,skilled employee/official,1,yes,yes,0
>= 2900 € / Gehalt seit 1 Jahr,24,critical account/other credits existing,car (new),6871.762883277177,unbekannt,4 <= ... < 7 years,4,male : single,none,2,real estate,37,bank,own,2,unskilled - resident,2,no,yes,0
< 580 €,10,critical account/other credits existing,car (new),5307.209726816747,< 580 €,4 <= ... < 7 years,4,male : single,co-applicant,3,building society savings agreement/life insurance,49,none,own,2,skilled employee/official,1,yes,yes,1
kein Konto,48,critical account/other credits existing,car (new),51778.528808741044,2800 € - 5000 €,1 <= ... < 4 years,2,male : single,none,2,unknown/no property,44,bank,for free,1,skilled employee/official,1,no,yes,0
kein Konto,6,existing credits paid back duly till now,radio/television,7889.233726857651,>= 5000 €,1 <= ... < 4 years,4,male : divorced/separated,none,2,real estate,33,none,own,1,skilled employee/official,1,no,yes,1
kein Konto,30,existing credits paid back duly till now,car (used),24598.252404350074,unbekannt,4 <= ... < 7 years,2,female : divorced/separated/married,none,4,building society savings agreement/life insurance,24,stores,rent,1,unskilled - resident,1,no,yes,1
< 580 €,12,existing credits paid back duly till now,domestic appliances,3717.0919762965086,580 € - 2900 €,... < 1 year,4,male : married/widowed,none,3,unknown/no property,33,none,own,1,unskilled - resident,1,yes,yes,0
580 € - 2900 €,8,existing credits paid back duly till now,radio/television,6324.680570397222,< 580 €,1 <= ... < 4 years,3,female : divorced/separated/married,none,4,real estate,24,none,own,1,skilled employee/official,1,no,yes,0
580 € - 2900 €,9,existing credits paid back duly till now,car (new),1411.165592101563,< 580 €,1 <= ... < 4 years,4,male : married/widowed,none,4,real estate,22,none,rent,1,unskilled - resident,1,no,yes,1
580 € - 2900 €,48,existing credits paid back duly till now,furniture/equipment,27512.616127168516,unbekannt,unemployed,3,male : single,none,4,unknown/no property,40,bank,for free,1,unemployed/unskilled - non-resident,1,yes,yes,1
kein Konto,24,existing credits paid back duly till now,radio/television,28177.2955727236,580 € - 2900 €,1 <= ... < 4 years,4,male : single,none,1,car or other,25,stores,own,1,skilled employee/official,1,no,yes,1
>= 2900 € / Gehalt seit 1 Jahr,24,existing credits paid back duly till now,radio/television,19168.33262604623,< 580 €,... < 1 year,2,female : divorced/separated/married,none,4,car or other,26,none,own,1,skilled employee/official,1,no,yes,1
580 € - 2900 €,12,existing credits paid back duly till now,car (new),3502.3493861940965,< 580 €,4 <= ... < 7 years,2,male : married/widowed,none,3,car or other,25,bank,own,1,unskilled - resident,1,no,yes,0
>= 2900 € / Gehalt seit 1 Jahr,4,existing credits paid back duly till now,car (new),7638.700705071505,unbekannt,... < 1 year,1,male : single,none,2,real estate,29,none,own,1,unskilled - resident,2,no,no,1
< 580 €,36,all credits at this bank paid back duly,radio/television,14040.075057648159,< 580 €,... >= 7 years,4,male : single,none,4,car or other,31,bank,own,1,skilled employee/official,1,no,yes,0
< 580 €,12,existing credits paid back duly till now,radio/television,3619.9465188692266,< 580 €,1 <= ... < 4 years,2,male : single,guarantor,3,building society savings agreement/life insurance,38,none,own,1,unskilled - resident,2,no,yes,1
580 € - 2900 €,24,existing credits paid back duly till now,radio/television,22246.309750847468,unbekannt,1 <= ... < 4 years,1,female : divorced/separated/married,none,4,building society savings agreement/life insurance,48,none,own,1,unskilled - resident,1,yes,yes,1
kein Konto,12,critical account/other credits existing,retraining,3584.1560871854917,< 580 €,1 <= ... < 4 years,4,male : single,none,2,car or other,32,none,own,2,skilled employee/official,1,no,yes,1
< 580 €,15,delay in paying off in the past,radio/television,18626.36323197824,< 580 €,... >= 7 years,1,female : divorced/separated/married,none,4,building society savings agreement/life insurance,27,none,own,2,unskilled - resident,1,no,yes,1
580 € - 2900 €,30,critical account/other credits existing,car (new),21724.792032027326,< 580 €,unemployed,4,male : married/widowed,none,2,car or other,28,none,own,2,management/self-employed/highly qualified employee/officer,1,no,yes,0
< 580 €,24,existing credits paid back duly till now,domestic appliances,9908.836657582715,< 580 €,... < 1 year,4,male : divorced/separated,none,3,building society savings agreement/life insurance,32,none,own,1,skilled employee/official,1,no,yes,0
< 580 €,24,existing credits paid back duly till now,car (used),14878.593742809957,< 580 €,4 <= ... < 7 years,2,male : single,none,1,unknown/no property,34,none,for free,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1
< 580 €,18,existing credits paid back duly till now,radio/television,13595.25112100745,>= 5000 €,1 <= ... < 4 years,4,male : single,none,2,car or other,28,none,own,1,skilled employee/official,1,no,yes,1
kein Konto,18,critical account/other credits existing,car (new),5256.080538697126,< 580 €,1 <= ... < 4 years,4,female : divorced/separated/married,none,3,real estate,36,none,own,2,skilled employee/official,1,no,yes,1
< 580 €,8,critical account/other credits existing,car (new),17373.698123047503,< 580 €,4 <= ... < 7 years,1,male : single,none,4,real estate,39,none,own,2,unskilled - resident,1,no,no,1
kein Konto,12,critical account/other credits existing,radio/television,29660.042028192634,unbekannt,... >= 7 years,2,male : single,none,4,building society savings agreement/life insurance,49,none,rent,1,skilled employee/official,1,yes,yes,1
kein Konto,24,existing credits paid back duly till now,car (new),7797.201188242332,>= 5000 €,4 <= ... < 7 years,4,female : divorced/separated/married,none,3,car or other,34,none,own,1,skilled employee/official,2,yes,yes,1
>= 2900 € / Gehalt seit 1 Jahr,36,existing credits paid back duly till now,domestic appliances,22870.08584590685,< 580 €,... >= 7 years,4,male : single,none,2,car or other,31,none,own,1,skilled employee/official,1,no,yes,1
580 € - 2900 €,6,existing credits paid back duly till now,domestic appliances,5460.5972911756135,< 580 €,... >= 7 years,4,male : single,none,4,car or other,28,none,own,1,skilled employee/official,2,no,yes,1
< 580 €,24,critical account/other credits existing,car (used),33821.957941129855,< 580 €,unemployed,2,male : single,none,4,unknown/no property,75,none,for free,2,management/self-employed/highly qualified employee/officer,1,yes,yes,1
kein Konto,18,critical account/other credits existing,retraining,9530.480665497513,580 € - 2900 €,1 <= ... < 4 years,4,female : divorced/separated/married,none,2,real estate,30,none,own,2,skilled employee/official,1,no,yes,0
580 € - 2900 €,60,existing credits paid back duly till now,car (new),37876.50255901587,580 € - 2900 €,... < 1 year,4,female : divorced/separated/married,none,2,building society savings agreement/life insurance,24,none,own,1,management/self-employed/highly qualified employee/officer,1,no,yes,0
kein Konto,48,critical account/other credits existing,car (used),59258.72903064173,580 € - 2900 €,1 <= ... < 4 years,2,female : divorced/separated/married,none,4,car or other,24,bank,rent,2,unskilled - resident,1,no,yes,0
< 580 €,24,no credits taken/all credits paid back duly,radio/television,21014.09631716458,< 580 €,... >= 7 years,3,male : single,none,4,unknown/no property,23,bank,rent,2,skilled employee/official,2,no,yes,0
< 580 €,6,critical account/other credits existing,radio/television,17302.11725968003,< 580 €,1 <= ... < 4 years,1,male : divorced/separated,none,4,real estate,44,none,rent,1,management/self-employed/highly qualified employee/officer,1,yes,yes,0
580 € - 2900 €,13,existing credits paid back duly till now,domestic appliances,10742.24242393255,< 580 €,... < 1 year,2,female : divorced/separated/married,guarantor,4,building society savings agreement/life insurance,23,none,own,1,unskilled - resident,1,no,yes,1
< 580 €,15,existing credits paid back duly till now,repairs,6518.971485251786,unbekannt,1 <= ... < 4 years,4,female : divorced/separated/married,none,2,car or other,24,none,rent,1,skilled employee/official,1,no,yes,0
< 580 €,24,existing credits paid back duly till now,radio/television,21315.75852707035,< 580 €,1 <= ... < 4 years,4,male : single,none,4,building society savings agreement/life insurance,28,none,own,1,skilled employee/official,1,no,yes,1
580 € - 2900 €,10,existing credits paid back duly till now,radio/television,7776.749512994484,< 580 €,1 <= ... < 4 years,4,male : divorced/separated,none,2,car or other,31,none,own,1,unskilled - resident,1,no,yes,1
580 € - 2900 €,24,critical account/other credits existing,retraining,29363.492737098826,< 580 €,... < 1 year,2,female : divorced/separated/married,none,4,unknown/no property,24,none,for free,2,skilled employee/official,1,yes,yes,1
< 580 €,21,existing credits paid back duly till now,radio/television,18401.394804251904,< 580 €,4 <= ... < 7 years,1,female : divorced/separated/married,none,4,car or other,26,none,rent,1,unskilled - resident,1,no,yes,1
580 € - 2900 €,18,existing credits paid back duly till now,domestic appliances,16427.808142834503,2800 € - 5000 €,... < 1 year,1,male : married/widowed,none,3,real estate,25,none,rent,1,skilled employee/official,1,no,yes,1
580 € - 2900 €,18,existing credits paid back duly till now,others,22696.246606300138,< 580 €,... >= 7 years,1,male : single,co-applicant,1,real estate,33,bank,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1
